Product Id,Plant Id
FP3200P8939T,P1241
FP3200P8940T,P1241
FP3200P8941T,P1241
FP3200P8949T,P1241
FP3200P8950T,P1241
FP3200P8951T,P1241
FP3200P8952T,P1241
FP3200P8953T,P1241
FP3200P8957T,P1241
FP3200P8958T,P1241
FP3200P8961T,P1241
FP3200P8968T,P1241
FP3200P8970T,P1241
FP3200P9141T,P1241
FP3200P9142T,P1241
FP3200P9145T,P1241
FP3200P9147T,P1241
FP3200P9151T,P1241
FP3200P9152T,P1241
FP3200P9156T,P1241
FP3200P9161T,P1241
FP3200P9162T,P1241
FP3200P9186T,P1241
FP3200P9187T,P1241
FP3200P9188T,P1241
FP3200P9191T,P1241
FP3200P9192T,P1241
FP3200P9193T,P1241
FP3200P9267T,P1241
FP3200P9268T,P1241
FP3200P9269T,P1241
FP3200P9271T,P1241
FP3200P9272T,P1241
FP3200P9273T,P1241
FP3200P9274T,P1241
FP3200P9275T,P1241
FP3200P9277T,P1241
FP3200P9278T,P1241
FP3200P9282T,P1241
FP3200P9283T,P1241
FP3200P9285T,P1241
FP3200P9289T,P1241
FP3200P9290T,P1241
FP3200P9291T,P1241
FP3200P9293T,P1241
FP3200P9299T,P1241
FP3200P9300T,P1241
FP3200P9302T,P1241
FP3200P9303T,P1241
FP3200P9304T,P1241
FP3200P9306T,P1241
FP3200P9307T,P1241
FP3200P9309T,P1241
FP3200P9316T,P1241
FP3200P9317T,P1241
FP3200P9318T,P1241
FP3200P9319T,P1241
FP3200P9320T,P1241
FP3200P9321T,P1241
FP3200P9322T,P1241
FP3200P9324T,P1241
FP3200P9329T,P1241
FP3200P9330T,P1241
FP3200P9331T,P1241
FP3200P9334T,P1241
FP3200P9335T,P1241
FP3200P9337T,P1241
FP3200P9338T,P1241
FP3200P9339T,P1241
FP3200P9340T,P1241
FP3200P9344T,P1241
FP3200P9345T,P1241
FP3200P9346T,P1241
FP3200P9348T,P1241
FP3200P9349T,P1241
FP3200P9350T,P1241
FP3200P9351T,P1241
FP3200P9353T,P1241
FP3200P9355T,P1241
FP3200P9357T,P1241
FP3200P9359T,P1241
FP3200P9361T,S1238
FP3200P9362T,S1238
FP3200P9363T,S1238
FP3200P9365T,S1238
FP3200P9368T,S1238
FP3200P9369T,S1238
FP3200P9370T,S1238
FP3200P9373T,S1238
FP3200P9374T,S1238
FP3200P9377T,S1238
FP3200P9382T,S1238
FP3200P9384T,S1238
FP3200P9385T,S1238
FP3200P9387T,S1238
FP3200P9389T,S1238
FP3201P0500T,S1238
FP3201P0501T,S1238
FP3201P0502T,S1238
FP3201P0503T,S1238
FP3201P0504T,S1238
FP3201P0505T,S1238
FP3201P0533T,S1238
FP3201P0544T,S1238
FP3201P0545T,S1238
FP3201P0551T,S1238
FP3201P0554T,S1238
FP3201P0555T,S1238
FP3201P0560T,S1238
FP3201P0562T,S1238
FP3201P0569T,S1238
FP3201P0602T,S1239
FP3201P1382T,S1239
FP3201P3032T,S1239
FP3201P3037T,S1239
FP3201P3038T,S1239
FP3201P3039T,S1239
FP3201P3040T,S1239
FP3201P3041T,S1239
FP3201P3042T,S1239
FP3201P3044T,S1239
FP3201P3045T,S1239
FP3201P3046T,S1239
FP3201P3662T,S1239
FP3201P3663T,S1239
FP3201P3664T,S1239
FP3201P3665T,S1239
FP3201P3669T,S1239
FP3201P3670T,S1239
FP3201P3671T,S1239
FP3201P3672T,S1239
FP3201P3673T,S1239
FP3201P3674T,S1239
FP3201P3675T,S1239
FP3201P4106T,S1240
FP3201P4107T,S1240
FP3201P4108T,S1240
FP3201P4109T,S1240
FP3201P4111T,S1240
FP3201P4113T,S1240
FP3201P4114T,S1240
FP3201P4115T,S1240
FP3201P4116T,S1240
FP3201P4117T,S1240
FP3201P4118T,S1240
FP3201P4119T,S1240
FP3201P4120T,S1240
FP3201P4130T,S1240
FP3201P4131T,S1240
FP3201P4132T,S1240
FP3201P4133T,S1240
FP3201P4134T,S1240
FP3201P4135T,S1240
FP3201P4173T,S1240
FP3201P4174T,S1240
FP3201P4175T,S1240
FP3201P4176T,S1240
FP3201P4177T,S1240
FP3201P4191T,S1240
FP3201P4192T,S1240
FP3201P4258T,S1240
FP3201P4259T,S1240
FP3201P4271T,S1240
FP3201P4272T,S1254
FP3201P4273T,S1254
FP3201P4283T,S1254
FP3201P4308T,S1254
FP3201P4309T,S1254
FP3201P4318T,S1254
FP3201P4322T,S1254
FP3201P4346T,S1254
FP3201P4347T,S1254
FP3201P4357T,S1254
FP3201P4358T,S1254
FP3201P4359T,S1254
FP3201P4360T,S1254
FP3201P4361T,S1254
FP3201P4362T,S1254
FP3201P4363T,S1254
FP3201P4439T,S1254
FP3201P4570T,S1254
FP3201P4577T,S1254
FP3201P4578T,S1254
FP3201P4579T,S1241
FP3201P4635T,S1241
FP3201P4690T,S1241
FP3201P4691T,S1241
FP3201P4692T,S1241
FP3201P4693T,S1241
FP3201P4694T,S1241
